[00:00:10.414] (7f95ccfe9700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684195
[00:00:10.414] (7f95cd1ea700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
[00:00:10.414] (7f95cd9ee700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
[00:00:10.414] (7f95cd1ea700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684196
[00:00:10.415] (7f95cd9ee700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684196
[00:00:10.425] (7f95cdbef700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684186
[00:00:10.498] (7f95745f1700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.498] (7f95745f1700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325684280
[00:00:10.502] (7f95cd7ed700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
[00:00:10.503] (7f95743f0700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.504] (7f95cd7ed700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684285
[00:00:10.507] (7f95743f0700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325684286
[00:00:10.507] (7f95ccde8700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
[00:00:10.511] (7f95ccde8700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684293
[00:00:10.594] (7f95cd3eb700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
[00:00:10.595] (7f95cd5ec700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
[00:00:10.595] (7f95cd3eb700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684376
[00:00:10.604] (7f95cdbef700) INFO   [Starting actor] Cam id: cam_1, sequence: 2
[00:00:10.604] (7f95cd5ec700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 1, Timestamp: 1632325684377
[00:00:10.613] (7f95ccfe9700) INFO   [Starting actor] Cam id: cam_1, sequence: 2
[00:00:10.614] (7f95cd1ea700) INFO   [Starting actor] Cam id: cam_1, sequence: 2
[00:00:10.614] (7f95ccfe9700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 2, Timestamp: 1632325684396
[00:00:10.614] (7f95cd9ee700) INFO   [Starting actor] Cam id: cam_1, sequence: 2
[00:00:10.614] (7f9543dfe700) INFO   [Starting actor] Cam id: cam_2, sequence: 0
[00:00:10.615] (7f9543fff700) INFO   [Starting actor] Cam id: cam_2, sequence: 0
[00:00:10.634] (7f95cd1ea700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 2, Timestamp: 1632325684396
[00:00:10.635] (7f9543dfe700) INFO   [SendToPublisher] Cam id: cam_2, Sequence: 0, Timestamp: 1632325684416
